val1,val2,val3,PSAL,code,step,PLRR,ARTL
1,22,0,229,9,2,104,3123
120,0,254,229,8,3,104,3123
0,0,0,229,10,4,104,3123
0,0,0,229,255,5,104,3123
40,16,254,233,8,0,126,495
2,16,0,233,9,1,126,495
32,0,0,233,25,2,126,495
0,0,0,233,10,3,126,495
0,0,0,233,255,4,126,495
4,32,254,234,8,0,126,4137
40,17,254,234,8,1,126,4137
1,16,0,234,9,2,126,4137
64,0,0,234,25,3,126,4137
0,0,0,234,10,4,126,4137
0,0,0,234,255,5,126,4137
8,32,254,235,8,0,71,490
40,16,254,235,8,1,71,490
1,1,0,235,9,2,71,490
120,0,254,235,8,3,71,490
0,0,0,235,10,4,71,490
0,0,0,235,255,5,71,490
4,32,254,238,8,0,126,2681
44,16,254,238,8,1,126,2681
1,16,0,238,9,2,126,2681
112,0,0,238,25,3,126,2681
0,0,0,238,10,4,126,2681
0,0,0,238,255,5,126,2681
4,32,254,239,8,0,96,5999
1,4,0,239,9,1,96,5999
224,7,254,239,8,2,96,5999
0,0,0,239,10,3,96,5999
0,0,0,239,255,4,96,5999
20,32,254,242,8,0,74,2575
2,17,0,242,9,1,74,2575
32,0,0,242,25,2,74,2575
0,0,0,242,10,3,74,2575
0,0,0,242,255,4,74,2575
20,32,254,243,8,0,74,1696
1,17,0,243,9,1,74,1696
32,0,0,243,25,2,74,1696
0,0,0,243,10,3,74,1696
0,0,0,243,255,4,74,1696
20,32,254,244,8,0,85,501
1,2,0,244,9,1,85,501
200,0,254,244,8,2,85,501
0,0,0,244,10,3,85,501
0,0,0,244,255,4,85,501
4,32,254,248,8,0,96,510
1,4,0,248,9,1,96,510
224,8,254,248,8,2,96,510
0,0,0,248,10,3,96,510
0,0,0,248,255,4,96,510
8,32,127,249,8,0,96,512
1,4,0,249,9,1,96,512
224,7,254,249,8,2,96,512
0,0,0,249,10,3,96,512
0,0,0,249,255,4,96,512
32,32,254,252,8,0,74,1683
2,5,0,252,9,1,74,1683
32,0,0,252,25,2,74,1683
0,0,0,252,10,3,74,1683
0,0,0,252,255,4,74,1683
68,32,254,253,8,0,86,637
1,23,0,253,9,1,86,637
224,10,254,253,8,2,86,637
0,0,0,253,10,3,86,637
0,0,0,253,255,4,86,637
32,32,254,260,8,0,74,1696
1,5,0,260,9,1,74,1696
32,0,0,260,25,2,74,1696
0,0,0,260,10,3,74,1696
0,0,0,260,255,4,74,1696
54,32,254,261,8,0,82,418
1,2,0,261,9,1,82,418
120,0,254,261,8,2,82,418
0,0,0,261,10,3,82,418
0,0,0,261,255,4,82,418
8,32,254,265,8,0,67,341
1,3,0,265,9,1,67,341
80,21,254,265,8,2,67,341
1,1,0,265,9,3,67,341
160,8,254,265,8,4,67,341
0,0,0,265,10,5,67,341
0,0,0,265,255,6,67,341
24,0,165,270,8,0,92,1738
160,3,165,270,8,1,92,1738
0,0,0,270,10,2,92,1738
0,0,0,270,255,3,92,1738
54,32,254,272,8,0,69,385
2,5,0,272,9,1,69,385
32,0,0,272,25,2,69,385
0,0,0,272,10,3,69,385
0,0,0,272,255,4,69,385
54,32,254,273,8,0,69,529
1,5,0,273,9,1,69,529
32,0,0,273,25,2,69,529
0,0,0,273,10,3,69,529
0,0,0,273,255,4,69,529
6,0,0,278,25,0,92,444
16,8,191,278,8,1,92,444
16,8,191,278,8,2,92,444
160,3,191,278,8,3,92,444
0,0,0,278,10,4,92,444
0,0,0,278,255,5,92,444
80,48,254,287,8,0,67,763
2,1,0,287,9,1,67,763
120,64,254,287,8,2,67,763
0,0,0,287,10,3,67,763
0,0,0,287,255,4,67,763
104,32,254,290,8,0,76,1026
2,2,0,290,9,1,76,1026
200,64,254,290,8,2,76,1026
0,0,0,290,10,3,76,1026
0,0,0,290,255,4,76,1026
120,48,254,292,8,0,67,351
2,1,0,292,9,1,67,351
120,64,254,292,8,2,67,351
0,0,0,292,10,3,67,351
0,0,0,292,255,4,67,351
4,44,254,296,8,0,98,355
1,3,0,296,9,1,98,355
240,32,254,296,8,2,98,355
160,32,254,296,8,3,98,355
0,0,0,296,10,4,98,355
0,0,0,296,255,5,98,355
56,48,254,298,8,0,90,2712
1,2,0,298,9,1,90,2712
120,12,254,298,8,2,90,2712
0,0,0,298,10,3,90,2712
0,0,0,298,255,4,90,2712
0,32,254,300,8,0,67,2498
64,48,254,300,8,1,67,2498
2,1,0,300,9,2,67,2498
120,64,254,300,8,3,67,2498
0,0,0,300,10,4,67,2498
0,0,0,300,255,5,67,2498
80,16,254,304,8,0,126,1443
1,16,0,304,9,1,126,1443
48,0,0,304,25,2,126,1443
0,0,0,304,10,3,126,1443
0,0,0,304,255,4,126,1443
64,16,254,306,8,0,90,3563
2,2,0,306,9,1,90,3563
120,48,254,306,8,2,90,3563
0,0,0,306,10,3,90,3563
0,0,0,306,255,4,90,3563
32,26,254,307,8,0,104,6261
2,22,0,307,9,1,104,6261
120,64,254,307,8,2,104,6261
0,0,0,307,10,3,104,6261
0,0,0,307,255,4,104,6261
8,32,254,309,8,0,67,367
120,16,254,309,8,1,67,367
1,1,0,309,9,2,67,367
120,0,254,309,8,3,67,367
0,0,0,309,10,4,67,367
0,0,0,309,255,5,67,367
64,12,165,310,8,0,71,373
1,1,0,310,9,1,71,373
120,0,165,310,8,2,71,373
0,0,0,310,10,3,71,373
0,0,0,310,255,4,71,373
68,32,254,313,8,0,88,377
2,4,0,313,9,1,88,377
240,56,254,313,8,2,88,377
0,0,0,313,10,3,88,377
0,0,0,313,255,4,88,377
68,32,254,314,8,0,63,378
1,1,0,314,9,1,63,378
240,10,254,314,8,2,63,378
0,0,0,314,10,3,63,378
0,0,0,314,255,4,63,378
104,32,254,315,8,0,87,395
2,1,0,315,9,1,87,395
232,53,254,315,8,2,87,395
0,0,0,315,10,3,87,395
0,0,0,315,255,4,87,395
104,32,254,316,8,0,62,396
1,4,0,316,9,1,62,396
224,10,254,316,8,2,62,396
0,0,0,316,10,3,62,396
0,0,0,316,255,4,62,396
54,32,254,318,8,0,63,416
1,4,0,318,9,1,63,416
240,10,254,318,8,2,63,416
0,0,0,318,10,3,63,416
0,0,0,318,255,4,63,416
104,32,254,319,8,0,68,401
2,5,0,319,9,1,68,401
32,0,0,319,25,2,68,401
0,0,0,319,10,3,68,401
0,0,0,319,255,4,68,401
104,32,254,320,8,0,68,402
1,5,0,320,9,1,68,402
32,0,0,320,25,2,68,402
0,0,0,320,10,3,68,402
0,0,0,320,255,4,68,402
68,32,254,321,8,0,69,3188
1,5,0,321,9,1,69,3188
8,112,254,321,8,2,69,3188
32,0,0,321,25,3,69,3188
0,0,0,321,10,4,69,3188
0,0,0,321,255,5,69,3188
72,32,254,323,8,0,77,2270
2,2,0,323,9,1,77,2270
200,64,254,323,8,2,77,2270
0,0,0,323,10,3,77,2270
0,0,0,323,255,4,77,2270
68,32,254,324,8,0,63,3122
1,1,0,324,9,1,63,3122
240,16,254,324,8,2,63,3122
0,0,0,324,10,3,63,3122
0,0,0,324,255,4,63,3122
40,32,254,330,8,0,64,408
2,23,0,330,9,1,64,408
120,53,254,330,8,2,64,408
0,0,0,330,10,3,64,408
0,0,0,330,255,4,64,408
32,32,254,331,8,0,96,4240
2,4,0,331,9,1,96,4240
224,53,254,331,8,2,96,4240
0,0,0,331,10,3,96,4240
0,0,0,331,255,4,96,4240
32,32,254,332,8,0,96,411
1,4,0,332,9,1,96,411
224,16,254,332,8,2,96,411
0,0,0,332,10,3,96,411
0,0,0,332,255,4,96,411
54,32,254,335,8,0,64,420
2,23,0,335,9,1,64,420
120,53,254,335,8,2,64,420
0,0,0,335,10,3,64,420
0,0,0,335,255,4,64,420
8,32,254,338,8,0,126,2798
2,1,0,338,9,1,126,2798
80,48,254,338,8,2,126,2798
2,16,0,338,9,3,126,2798
32,0,0,338,25,4,126,2798
0,0,0,338,10,5,126,2798
0,0,0,338,255,6,126,2798
120,48,254,341,8,0,126,353
2,16,0,341,9,1,126,353
32,0,0,341,25,2,126,353
0,0,0,341,10,3,126,353
0,0,0,341,255,4,126,353
40,48,254,347,8,0,126,2798
2,16,0,347,9,1,126,2798
32,0,0,347,25,2,126,2798
0,0,0,347,10,3,126,2798
0,0,0,347,255,4,126,2798
8,32,254,350,8,0,126,1916
48,48,254,350,8,1,126,1916
2,16,0,350,9,2,126,1916
48,0,0,350,25,3,126,1916
0,0,0,350,10,4,126,1916
0,0,0,350,255,5,126,1916
8,32,254,354,8,0,126,623
120,16,254,354,8,1,126,623
1,16,0,354,9,2,126,623
32,0,0,354,25,3,126,623
0,0,0,354,10,4,126,623
0,0,0,354,255,5,126,623
40,16,254,359,8,0,102,311
2,1,0,359,9,1,102,311
240,32,254,359,8,2,102,311
0,0,0,359,10,3,102,311
0,0,0,359,255,4,102,311
56,16,204,360,8,0,102,312
2,1,0,360,9,1,102,312
240,32,254,360,8,2,102,312
0,0,0,360,10,3,102,312
0,0,0,360,255,4,102,312
68,32,254,364,8,0,86,2769
1,23,0,364,9,1,86,2769
224,10,254,364,8,2,86,2769
0,0,0,364,10,3,86,2769
0,0,0,364,255,4,86,2769
104,32,254,366,8,0,87,320
2,1,0,366,9,1,87,320
240,48,254,366,8,2,87,320
0,0,0,366,10,3,87,320
0,0,0,366,255,4,87,320
104,32,254,367,8,0,87,322
2,1,0,367,9,1,87,322
240,48,254,367,8,2,87,322
0,0,0,367,10,3,87,322
0,0,0,367,255,4,87,322
104,32,254,368,8,0,62,321
1,1,0,368,9,1,62,321
240,16,254,368,8,2,62,321
0,0,0,368,10,3,62,321
0,0,0,368,255,4,62,321
104,32,254,369,8,0,62,323
1,1,0,369,9,1,62,323
240,16,254,369,8,2,62,323
0,0,0,369,10,3,62,323
0,0,0,369,255,4,62,323
20,32,254,370,8,0,104,692
1,22,0,370,9,1,104,692
120,0,254,370,8,2,104,692
0,0,0,370,10,3,104,692
0,0,0,370,255,4,104,692
3,5,1,371,58,0,49,5454
9,0,0,371,25,1,49,5454
22,3,-1,371,26,2,49,5454
8,0,0,371,13,3,49,5454
16,11,254,371,3,4,49,5454
0,0,0,371,1,5,49,5454
0,0,0,371,255,6,49,5454
24,122,165,375,8,0,100,334
24,0,165,375,8,1,100,334
40,8,165,375,8,2,100,334
0,0,0,375,10,3,100,334
0,0,0,375,255,4,100,334
16,10,254,376,8,0,87,724
2,1,0,376,9,1,87,724
64,32,254,376,8,2,87,724
1,1,0,376,9,3,87,724
160,16,254,376,8,4,87,724
0,0,0,376,10,5,87,724
0,0,0,376,255,6,87,724
21,53,-1,379,26,0,90,325
48,53,254,379,8,1,90,325
1,4,0,379,9,2,90,325
24,32,254,379,8,3,90,325
1,2,0,379,9,4,90,325
96,3,254,379,8,5,90,325
0,0,0,379,10,6,90,325
0,0,0,379,255,7,90,325
21,22,1,406,58,0,49,262
16,0,0,406,25,1,49,262
2,0,-1,406,26,2,49,262
48,30,191,406,13,3,49,262
0,0,0,406,1,4,49,262
0,0,0,406,255,5,49,262
12,11,1,417,58,0,56,645
2,41,-1,417,26,1,56,645
48,34,191,417,13,2,56,645
0,0,0,417,1,3,56,645
0,0,0,417,255,4,56,645
21,49,-1,418,26,0,2,196
4,-1,0,418,18,1,2,196
0,0,0,418,255,2,2,196
0,0,0,419,30,0,2,196
0,0,0,419,255,1,2,196
1,0,0,420,30,0,2,196
0,0,0,420,7,1,2,196
0,0,0,420,255,2,2,196
68,32,254,421,8,0,78,390
2,1,0,421,9,1,78,390
40,48,254,421,8,2,78,390
1,1,0,421,9,3,78,390
120,32,254,421,8,4,78,390
0,0,0,421,10,5,78,390
0,0,0,421,255,6,78,390
21,7,-1,423,26,0,2,198
7,-1,0,423,18,1,2,198
0,0,0,423,255,2,2,198
113,111,1,431,58,0,57,266
22,0,-1,431,26,1,57,266
64,24,191,431,13,2,57,266
0,0,0,431,1,3,57,266
0,0,0,431,255,4,57,266
21,0,90,435,26,0,2,5394
4,-1,0,435,18,1,2,5394
0,0,0,435,255,2,2,5394
0,0,0,442,31,0,2,5394
0,0,0,442,255,1,2,5394
4,64,-1,447,26,0,1,1185
32,60,254,447,3,1,1,1185
0,2,0,447,14,2,1,1185
0,0,0,447,255,3,1,1185
21,46,-1,471,26,0,2,693
4,-1,0,471,18,1,2,693
0,0,0,471,255,2,2,693
9,0,0,473,25,0,101,695
8,32,254,473,8,1,101,695
2,1,0,473,9,2,101,695
40,48,254,473,8,3,101,695
1,1,0,473,9,4,101,695
160,32,254,473,8,5,101,695
0,0,0,473,10,6,101,695
0,0,0,473,255,7,101,695
24,16,254,474,8,0,85,6265
24,32,254,474,8,1,85,6265
1,2,0,474,9,2,85,6265
160,0,254,474,8,3,85,6265
0,0,0,474,10,4,85,6265
0,0,0,474,255,5,85,6265
10,23,254,476,8,0,71,699
1,4,0,476,9,1,71,699
160,0,254,476,8,2,71,699
0,0,0,476,10,3,71,699
0,0,0,476,255,4,71,699
21,14,-1,479,26,0,2,3592
4,2,0,479,18,1,2,3592
0,0,0,479,255,2,2,3592
4,27,1,483,58,0,57,703
22,3,-1,483,26,1,57,703
32,0,254,483,13,2,57,703
0,0,0,483,1,3,57,703
0,0,0,483,255,4,57,703
32,32,254,484,8,0,86,704
2,23,0,484,9,1,86,704
120,48,254,484,8,2,86,704
0,0,0,484,10,3,86,704
0,0,0,484,255,4,86,704
21,32,-1,487,26,0,2,708
4,-1,0,487,18,1,2,708
0,0,0,487,255,2,2,708
1,0,0,488,25,0,2,710
21,29,-1,488,26,1,2,710
4,-1,0,488,18,2,2,710
0,0,0,488,255,3,2,710
21,22,-1,489,26,0,2,6224
11,6,0,489,18,1,2,6224
0,0,0,489,255,2,2,6224
27,4,1,490,58,0,49,1471
22,64,-1,490,26,1,49,1471
12,64,254,490,13,2,49,1471
24,34,254,490,3,3,49,1471
0,0,0,490,1,4,49,1471
0,0,0,490,255,5,49,1471
32,32,254,499,8,0,83,756
2,10,0,499,9,1,83,756
200,32,254,499,8,2,83,756
0,0,0,499,10,3,83,756
0,0,0,499,255,4,83,756
4,-1,0,567,18,0,2,849
0,0,0,567,255,1,2,849
24,0,-1,579,26,0,2,896
3,-1,0,579,18,1,2,896
0,0,0,579,255,2,2,896
6,8,1,586,58,0,58,891
6,5,-1,586,26,1,58,891
40,5,114,586,32,2,58,891
0,0,0,586,1,3,58,891
0,0,0,586,255,4,58,891
8,6,1,591,58,0,58,1021
6,58,-1,591,26,1,58,1021
40,58,114,591,32,2,58,1021
0,0,0,591,1,3,58,1021
0,0,0,591,255,4,58,1021
6,8,1,592,58,0,58,886
6,5,-1,592,26,1,58,886
40,5,114,592,32,2,58,886
0,0,0,592,1,3,58,886
0,0,0,592,255,4,58,886
6,8,1,593,58,0,58,887
6,5,-1,593,26,1,58,887
40,5,114,593,32,2,58,887
0,0,0,593,1,3,58,887
0,0,0,593,255,4,58,887
63,64,1,595,58,0,58,6219
22,64,-1,595,26,1,58,6219
24,64,254,595,13,2,58,6219
32,46,254,595,3,3,58,6219
0,0,0,595,1,4,58,6219
0,0,0,595,255,5,58,6219
35,0,0,607,7,0,40,430
0,0,0,607,255,1,40,430
1,2,1,616,58,0,74,1792
2,16,-1,616,26,1,74,1792
16,28,254,616,13,2,74,1792
24,0,0,616,14,3,74,1792
48,32,254,616,8,4,74,1792
1,5,0,616,9,5,74,1792
48,0,0,616,25,6,74,1792
0,0,0,616,10,7,74,1792
0,0,0,616,255,8,74,1792
46,50,1,627,58,0,56,965
22,37,-1,627,26,1,56,965
56,37,191,627,13,2,56,965
0,0,0,627,1,3,56,965
0,0,0,627,255,4,56,965
4,0,-1,629,26,0,1,1036
48,3,254,629,3,1,1,1036
